Iteracion	Nombre	Promedio	Desviacion	Error(2sigma/raiz(n)*promedio)
Real DNA test 0
Occupation In
0	BTree_OccIn(2^10)	0,994140625	0,0	0,0
0	ExtHash_OccIn(2^10)	0,6798206567764282	0,0	0,0
0	LinHashV1_OccIn(2^10)	0,49700927734375	0,0	0,0
0	LinHashV2_OccIn(2^10)	0,0	0,0	NaN
0	BTree_OccIn(2^11)	0,9802370071411133	0,0	0,0
0	ExtHash_OccIn(2^11)	0,6646918654441833	0,0	0,0
0	LinHashV1_OccIn(2^11)	0,5056992769241333	0,0	0,0
0	LinHashV2_OccIn(2^11)	0,0	0,0	NaN
0	BTree_OccIn(2^12)	0,9906350374221802	0,0	0,0
0	ExtHash_OccIn(2^12)	0,6916772127151489	0,0	0,0
0	LinHashV1_OccIn(2^12)	0,5103728771209717	0,0	0,0
0	LinHashV2_OccIn(2^12)	0,0	0,0	NaN
0	BTree_OccIn(2^13)	0,9900645613670349	0,0	0,0
0	ExtHash_OccIn(2^13)	0,6760074496269226	0,0	0,0
0	LinHashV1_OccIn(2^13)	0,5106180310249329	0,0	0,0
0	LinHashV2_OccIn(2^13)	0,0	0,0	NaN
0	BTree_OccIn(2^14)	0,994140625	0,0	0,0
0	ExtHash_OccIn(2^14)	0,6656380295753479	0,0	0,0
0	LinHashV1_OccIn(2^14)	0,5107421875	0,0	0,0
0	LinHashV2_OccIn(2^14)	0,0	0,0	NaN
0	BTree_OccIn(2^15)	0,9932723045349121	0,0	0,0
0	ExtHash_OccIn(2^15)	0,66796875	0,0	0,0
0	LinHashV1_OccIn(2^15)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccIn(2^15)	0,0	0,0	NaN
Occupation Out
0	BTree_OccOut(2^14)	0,994140625	0,0	0,0
0	ExtHash_OccOut(2^14)	0,667948305606842	0,0	0,0
0	LinHashV1_OccOut(2^14)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccOut(2^14)	0,0	0,0	NaN
0	BTree_OccOut(2^13)	0,9900645613670349	0,0	0,0
0	ExtHash_OccOut(2^13)	0,6679278612136841	0,0	0,0
0	LinHashV1_OccOut(2^13)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccOut(2^13)	0,0	0,0	NaN
0	BTree_OccOut(2^12)	0,9906350374221802	0,0	0,0
0	ExtHash_OccOut(2^12)	0,6679074168205261	0,0	0,0
0	LinHashV1_OccOut(2^12)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccOut(2^12)	0,0	0,0	NaN
0	BTree_OccOut(2^11)	0,9802370071411133	0,0	0,0
0	ExtHash_OccOut(2^11)	0,6678869724273682	0,0	0,0
0	LinHashV1_OccOut(2^11)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccOut(2^11)	0,0	0,0	NaN
0	BTree_OccOut(2^10)	0,994140625	0,0	0,0
0	ExtHash_OccOut(2^10)	0,6678869724273682	0,0	0,0
0	LinHashV1_OccOut(2^10)	0,5102586150169373	0,0	0,0
0	LinHashV2_OccOut(2^10)	0,0	0,0	NaN
IO in
0	BTree_IO_insert(2^10)	46725,0	0,0	0,0
0	ExtHash_IO_insert(2^10)	2137,0	0,0	0,0
